PassengerId,Survived,Pclass,Sex,Age
222,0,2,male,27
223,0,3,male,51
225,1,1,male,38
226,0,3,male,22
227,1,2,male,19
228,0,3,male,20.5
229,0,2,male,18
231,1,1,female,35
232,0,3,male,29
233,0,2,male,59
234,1,3,female,5
235,0,2,male,24
237,0,2,male,44
238,1,2,female,8
239,0,2,male,19
240,0,2,male,33
243,0,2,male,29
244,0,3,male,22
245,0,3,male,30
246,0,1,male,44
247,0,3,female,25
248,1,2,female,24
249,1,1,male,37
250,0,2,male,54
252,0,3,female,29
253,0,1,male,62
254,0,3,male,30
255,0,3,female,41
256,1,3,female,29
258,1,1,female,30
259,1,1,female,35
260,1,2,female,50
262,1,3,male,3
263,0,1,male,52
264,0,1,male,40
266,0,2,male,36
267,0,3,male,16
268,1,3,male,25
269,1,1,female,58
270,1,1,female,35
272,1,3,male,25
273,1,2,female,41
274,0,1,male,37
276,1,1,female,63
277,0,3,female,45
279,0,3,male,7
280,1,3,female,35
281,0,3,male,65
282,0,3,male,28
283,0,3,male,16
284,1,3,male,19
286,0,3,male,33
287,1,3,male,30
288,0,3,male,22
289,1,2,male,42
290,1,3,female,22
291,1,1,female,26
292,1,1,female,19
293,0,2,male,36
294,0,3,female,24
295,0,3,male,24
297,0,3,male,23.5
298,0,1,female,2
300,1,1,female,50
303,0,3,male,19
306,1,1,male,0.92
308,1,1,female,17
309,0,2,male,30
310,1,1,female,30
311,1,1,female,24
312,1,1,female,18
313,0,2,female,26
314,0,3,male,28
315,0,2,male,43
316,1,3,female,26
317,1,2,female,24
318,0,2,male,54
319,1,1,female,31
320,1,1,female,40
321,0,3,male,22
322,0,3,male,27
323,1,2,female,30
324,1,2,female,22
326,1,1,female,36
327,0,3,male,61
328,1,2,female,36
329,1,3,female,31
330,1,1,female,16
332,0,1,male,45.5
333,0,1,male,38
334,0,3,male,16
337,0,1,male,29
338,1,1,female,41
339,1,3,male,45
340,0,1,male,45
341,1,2,male,2
342,1,1,female,24
343,0,2,male,28
344,0,2,male,25
345,0,2,male,36
346,1,2,female,24
347,1,2,female,40
349,1,3,male,3
350,0,3,male,42
351,0,3,male,23
353,0,3,male,15
354,0,3,male,25
356,0,3,male,28
357,1,1,female,22
358,0,2,female,38
361,0,3,male,40
362,0,2,male,29
363,0,3,female,45
364,0,3,male,35
366,0,3,male,30
367,1,1,female,60
370,1,1,female,24
371,1,1,male,25
372,0,3,male,18
373,0,3,male,19
374,0,1,male,22
375,0,3,female,3
377,1,3,female,22
378,0,1,male,27
379,0,3,male,20
380,0,3,male,19
381,1,1,female,42
382,1,3,female,1
383,0,3,male,32
384,1,1,female,35
386,0,2,male,18
387,0,3,male,1
388,1,2,female,36
390,1,2,female,17
391,1,1,male,36
392,1,3,male,21
393,0,3,male,28
394,1,1,female,23
395,1,3,female,24
396,0,3,male,22
397,0,3,female,31
398,0,2,male,46
399,0,2,male,23
400,1,2,female,28
401,1,3,male,39
402,0,3,male,26
403,0,3,female,21
404,0,3,male,28
405,0,3,female,20
406,0,2,male,34
407,0,3,male,51
408,1,2,male,3
409,0,3,male,21
413,1,1,female,33
415,1,3,male,44
417,1,2,female,34
418,1,2,female,18
419,0,2,male,30
420,0,3,female,10
422,0,3,male,21
423,0,3,male,29
424,0,3,female,28
425,0,3,male,18
427,1,2,female,28
428,1,2,female,19
430,1,3,male,32
431,1,1,male,28
433,1,2,female,42
434,0,3,male,17
435,0,1,male,50
436,1,1,female,14
437,0,3,female,21
438,1,2,female,24
439,0,1,male,64
440,0,2,male,31
441,1,2,female,45
442,0,3,male,20
443,0,3,male,25
444,1,2,female,28
446,1,1,male,4
447,1,2,female,13
448,1,1,male,34
449,1,3,female,5
450,1,1,male,52
451,0,2,male,36
453,0,1,male,30
454,1,1,male,49
456,1,3,male,29
457,0,1,male,65
459,1,2,female,50
461,1,1,male,48
462,0,3,male,34
463,0,1,male,47
464,0,2,male,48
466,0,3,male,38
468,0,1,male,56
470,1,3,female,0.75
472,0,3,male,38
473,1,2,female,33
474,1,2,female,23
475,0,3,female,22
477,0,2,male,34
478,0,3,male,29
479,0,3,male,22
480,1,3,female,2
481,0,3,male,9
483,0,3,male,50
484,1,3,female,63
485,1,1,male,25
487,1,1,female,35
488,0,1,male,58
489,0,3,male,30
490,1,3,male,9
492,0,3,male,21
493,0,1,male,55
494,0,1,male,71
495,0,3,male,21
497,1,1,female,54
499,0,1,female,25
500,0,3,male,24
501,0,3,male,17
502,0,3,female,21
504,0,3,female,37
505,1,1,female,16
506,0,1,male,18
507,1,2,female,33
509,0,3,male,28
510,1,3,male,26
511,1,3,male,29
513,1,1,male,36
514,1,1,female,54
515,0,3,male,24
516,0,1,male,47
517,1,2,female,34
519,1,2,female,36
520,0,3,male,32
521,1,1,female,30
522,0,3,male,22
524,1,1,female,44
526,0,3,male,40.5
527,1,2,female,50
529,0,3,male,39
530,0,2,male,23
531,1,2,female,2
533,0,3,male,17
535,0,3,female,30
536,1,2,female,7
537,0,1,male,45
538,1,1,female,30
540,1,1,female,22
541,1,1,female,36
542,0,3,female,9
543,0,3,female,11
544,1,2,male,32
545,0,1,male,50
546,0,1,male,64
547,1,2,female,19
549,0,3,male,33
550,1,2,male,8
551,1,1,male,17
552,0,2,male,27
554,1,3,male,22
555,1,3,female,22
556,0,1,male,62
557,1,1,female,48
559,1,1,female,39
560,1,3,female,36
562,0,3,male,40
563,0,2,male,28
566,0,3,male,24
567,0,3,male,19
568,0,3,female,29
570,1,3,male,32
571,1,2,male,62
572,1,1,female,53
573,1,1,male,36
575,0,3,male,16
576,0,3,male,19
577,1,2,female,34
578,1,1,female,39
580,1,3,male,32
581,1,2,female,25
582,1,1,female,39
583,0,2,male,54
584,0,1,male,36
586,1,1,female,18
587,0,2,male,47
588,1,1,male,60
589,0,3,male,22
591,0,3,male,35
592,1,1,female,52
593,0,3,male,47
595,0,2,male,37
596,0,3,male,36
598,0,3,male,49
600,1,1,male,49
601,1,2,female,24
604,0,3,male,44
605,1,1,male,35
606,0,3,male,36
607,0,3,male,30
608,1,1,male,27
609,1,2,female,22
610,1,1,female,40
611,0,3,female,39
615,0,3,male,35
616,1,2,female,24
617,0,3,male,34
618,0,3,female,26
619,1,2,female,4
620,0,2,male,26
621,0,3,male,27
622,1,1,male,42
623,1,3,male,20
624,0,3,male,21
625,0,3,male,21
626,0,1,male,61
627,0,2,male,57
628,1,1,female,21
629,0,3,male,26
631,1,1,male,80
632,0,3,male,51
633,1,1,male,32
635,0,3,female,9
636,1,2,female,28
637,0,3,male,32
638,0,2,male,31
639,0,3,female,41
641,0,3,male,20
642,1,1,female,24
643,0,3,female,2
645,1,3,female,0.75
646,1,1,male,48
647,0,3,male,19
648,1,1,male,56
650,1,3,female,23
652,1,2,female,18
653,0,3,male,21
655,0,3,female,18
656,0,2,male,24
658,0,3,female,32
659,0,2,male,23
660,0,1,male,58
661,1,1,male,50
662,0,3,male,40
663,0,1,male,47
664,0,3,male,36
665,1,3,male,20
666,0,2,male,32
667,0,2,male,25
669,0,3,male,43
671,1,2,female,40
672,0,1,male,31
673,0,2,male,70
674,1,2,male,31
676,0,3,male,18
677,0,3,male,24.5
678,1,3,female,18
679,0,3,female,43
680,1,1,male,36
682,1,1,male,27
683,0,3,male,20
684,0,3,male,14
685,0,2,male,60
686,0,2,male,25
687,0,3,male,14
688,0,3,male,19
689,0,3,male,18
690,1,1,female,15
691,1,1,male,31
692,1,3,female,4
694,0,3,male,25
695,0,1,male,60
696,0,2,male,52
697,0,3,male,44
699,0,1,male,49
700,0,3,male,42
701,1,1,female,18
702,1,1,male,35
703,0,3,female,18
704,0,3,male,25
705,0,3,male,26
706,0,2,male,39
707,1,2,female,45
708,1,1,male,42
709,1,1,female,22
711,1,1,female,24
713,1,1,male,48
714,0,3,male,29
715,0,2,male,52
716,0,3,male,19
717,1,1,female,38
718,1,2,female,27
720,0,3,male,33
721,1,2,female,6
722,0,3,male,17
723,0,2,male,34
724,0,2,male,50
725,1,1,male,27
726,0,3,male,20
727,1,2,female,30
729,0,2,male,25
730,0,3,female,25
731,1,1,female,29
732,0,3,male,11
734,0,2,male,23
735,0,2,male,23
736,0,3,male,28.5
737,0,3,female,48
738,1,1,male,35
742,0,1,male,36
743,1,1,female,21
744,0,3,male,24
745,1,3,male,31
746,0,1,male,70
747,0,3,male,16
748,1,2,female,30
749,0,1,male,19
750,0,3,male,31
751,1,2,female,4
752,1,3,male,6
753,0,3,male,33
754,0,3,male,23
755,1,2,female,48
756,1,2,male,0.67
757,0,3,male,28
758,0,2,male,18
759,0,3,male,34
760,1,1,female,33
762,0,3,male,41
763,1,3,male,20
764,1,1,female,36
765,0,3,male,16
766,1,1,female,51
768,0,3,female,30.5
770,0,3,male,32
771,0,3,male,24
772,0,3,male,48
773,0,2,female,57
775,1,2,female,54
776,0,3,male,18
778,1,3,female,5
780,1,1,female,43
781,1,3,female,13
782,1,1,female,17
783,0,1,male,29
785,0,3,male,25
786,0,3,male,25
787,1,3,female,18
788,0,3,male,8
789,1,3,male,1
790,0,1,male,46
792,0,2,male,16
795,0,3,male,25
796,0,2,male,39
797,1,1,female,49
798,1,3,female,31
799,0,3,male,30
800,0,3,female,30
801,0,2,male,34
802,1,2,female,31
803,1,1,male,11
804,1,3,male,0.42
805,1,3,male,27
806,0,3,male,31
807,0,1,male,39
808,0,3,female,18
809,0,2,male,39
810,1,1,female,33
811,0,3,male,26
812,0,3,male,39
813,0,2,male,35
814,0,3,female,6
815,0,3,male,30.5
817,0,3,female,23
818,0,2,male,31
819,0,3,male,43
820,0,3,male,10
821,1,1,female,52
822,1,3,male,27
823,0,1,male,38
824,1,3,female,27
825,0,3,male,2
828,1,2,male,1
830,1,1,female,62
831,1,3,female,15
832,1,2,male,0.83
834,0,3,male,23
835,0,3,male,18
836,1,1,female,39
837,0,3,male,21
839,1,3,male,32
841,0,3,male,20
842,0,2,male,16
843,1,1,female,30
844,0,3,male,34.5
845,0,3,male,17
846,0,3,male,42
848,0,3,male,35
849,0,2,male,28
851,0,3,male,4
852,0,3,male,74
853,0,3,female,9
854,1,1,female,16
855,0,2,female,44
856,1,3,female,18
857,1,1,female,45
858,1,1,male,51
859,1,3,female,24
861,0,3,male,41
862,0,2,male,21
863,1,1,female,48
865,0,2,male,24
866,1,2,female,42
867,1,2,female,27
868,0,1,male,31
870,1,3,male,4
871,0,3,male,26
872,1,1,female,47
873,0,1,male,33
874,0,3,male,47
875,1,2,female,28
876,1,3,female,15
877,0,3,male,20
878,0,3,male,19
880,1,1,female,56
881,1,2,female,25
882,0,3,male,33
883,0,3,female,22
884,0,2,male,28
885,0,3,male,25
886,0,3,female,39
887,0,2,male,27
888,1,1,female,19
890,1,1,male,26
891,0,3,male,32
